epoch,loss,val_loss
0,0.0018196748569607735,1.1141051459162554e-07
1,0.0007067971164360642,8.193975190806668e-06
2,7.61234787205467e-06,9.351784058253543e-08
3,8.849544428812806e-06,1.145193024854052e-07
4,5.338536993804155e-06,1.6404116820467607e-07
5,2.1677098629879765e-05,2.0875340851489455e-06
6,0.00013880201731808484,3.8050708099035546e-05
7,4.69392653030809e-05,1.1187200470885728e-05
8,3.183099033776671e-05,3.6357317156898716e-08
9,1.037524384628341e-06,5.660814750285681e-08
10,1.022634819491941e-06,3.3077287753258133e-07
11,1.6107279634525185e-06,5.219433774072968e-08
12,3.3107271519838832e-06,1.7845981403752376e-07
13,3.414073944441043e-06,9.850881355077945e-08
14,1.0963053682644386e-06,2.4127659870032403e-08
15,1.1565763315957156e-06,2.0183730953249324e-07
16,5.02575403515948e-07,7.3179693416136615e-09
17,4.110119107281207e-07,6.164003707453958e-08
18,4.799119892595627e-07,7.029240123301861e-08
19,7.626487672496296e-07,9.967871861249478e-09
20,3.209716624041903e-06,3.2553266748891474e-08
21,3.1438787573279114e-07,1.346879656694e-07
22,7.429741799569456e-07,1.4666484560166282e-07
23,4.19338130086544e-06,7.2781070059591e-09
24,3.1767158361617476e-05,9.295092127103999e-07
25,0.00010877286695176736,2.5186218977069075e-07
26,3.538863438734552e-06,1.0714141751577699e-07
27,2.0328543541836552e-06,2.9143876645321143e-07
28,1.4442263136515976e-06,5.942991947449627e-07
29,4.8245842663163785e-06,4.063226910488993e-08
